time,open,high,low,close
2005-11-21 08:00:00,1064.54170847,1064.90577882,1063.81356776,1064.90577882
2005-11-22 08:00:00,1068.91055269,1068.91055269,1053.98366827,1053.98366827
2005-11-23 08:00:00,1065.99798987,1072.55125621,1065.99798987,1072.55125621
2005-11-25 08:00:00,1075.46381902,1080.01469842,1075.46381902,1080.01469842
2005-11-28 08:00:00,1087.84221098,1092.9391959,1079.10452254,1079.10452254
2005-11-29 08:00:00,1075.46381902,1077.28417078,1074.00753761,1077.28417078
2005-11-30 08:00:00,1071.8231155,1072.55125621,1071.8231155,1072.55125621
2005-12-01 08:00:00,1077.64824113,1080.9248743,1068.91055269,1080.9248743
2005-12-02 08:00:00,1085.65778887,1091.4829145,1085.65778887,1091.4829145
2005-12-05 08:00:00,1092.9391959,1094.39547731,1083.83743711,1083.83743711
2005-12-06 08:00:00,1095.12361801,1102.40502505,1095.12361801,1098.03618083
2005-12-07 08:00:00,1108.95829138,1110.41457279,1104.95351751,1104.95351751
2005-12-08 08:00:00,1087.11407027,1088.20628133,1087.11407027,1088.20628133
2005-12-12 08:00:00,1082.01708535,1082.01708535,1074.73567832,1074.73567832
2005-12-13 08:00:00,1076.92010043,1079.83266324,1076.92010043,1079.83266324
2005-12-15 08:00:00,1084.92964816,1085.65778887,1079.83266324,1080.9248743
2005-12-16 08:00:00,1080.56080394,1080.56080394,1080.56080394,1080.56080394
2005-12-19 08:00:00,1088.57035168,1092.57512555,1088.57035168,1092.57512555
2005-12-20 08:00:00,1091.4829145,1091.4829145,1090.75477379,1090.75477379
2005-12-21 08:00:00,1105.31758786,1116.96783912,1096.57989942,1116.96783912
2005-12-22 08:00:00,1113.3271356,1115.87562806,1113.3271356,1115.87562806
2005-12-28 08:00:00,1137.35577881,1137.35577881,1134.07914565,1134.07914565
2005-12-30 08:00:00,1139.54020092,1140.63241198,1139.54020092,1140.63241198
2006-01-03 08:00:00,1138.81206022,1149.00603007,1136.62763811,1145.7293969
2006-01-04 08:00:00,1149.00603007,1163.20477379,1125.70552756,1163.20477379
2006-01-05 08:00:00,1165.75326625,1168.66582906,1161.02035168,1161.02035168
2006-01-06 08:00:00,1172.30653258,1172.30653258,1161.02035168,1166.66344213
2006-01-09 08:00:00,1179.95200997,1182.86457278,1179.95200997,1182.86457278
2006-01-10 08:00:00,1172.67060293,1175.9472361,1167.93768836,1175.58316575
2006-01-11 08:00:00,1177.4035175,1178.85979891,1177.4035175,1178.49572856
2006-01-12 08:00:00,1186.86934665,1210.89798986,1183.95678384,1187.9615577
2006-01-13 08:00:00,1178.85979891,1178.85979891,1177.76758786,1177.76758786
2006-01-16 08:00:00,1189.05376876,1191.23819087,1187.9615577,1187.9615577
2006-01-17 08:00:00,1179.58793962,1183.22864313,1175.21909539,1175.21909539
2006-01-18 08:00:00,1168.66582906,1168.66582906,1154.10301499,1161.74849238
2006-01-19 08:00:00,1171.57839188,1173.03467328,1167.57361801,1167.57361801
2006-01-20 08:00:00,1173.76281399,1178.49572856,1171.21432153,1171.21432153
2006-01-24 08:00:00,1176.6753768,1182.50050243,1176.6753768,1178.49572856
2006-01-25 08:00:00,1194.87889439,1194.87889439,1194.15075368,1194.15075368
2006-01-26 08:00:00,1193.42261298,1202.16030142,1193.42261298,1201.06809037
2006-01-27 08:00:00,1214.53869338,1231.28592956,1213.81055268,1230.55778886
2006-01-30 08:00:00,1232.01407026,1245.12060293,1232.01407026,1240.023618
2006-01-31 08:00:00,1248.76130644,1248.76130644,1233.83442202,1233.83442202
2006-02-01 08:00:00,1244.39246222,1245.84874363,1236.74698484,1236.74698484
2006-02-02 08:00:00,1238.5673366,1238.5673366,1215.44886926,1215.44886926
2006-02-03 08:00:00,1213.44648233,1213.44648233,1208.71356775,1210.53391951
2006-02-06 08:00:00,1222.54824112,1235.65477378,1221.09195971,1230.55778886
2006-02-07 08:00:00,1228.37336675,1230.55778886,1225.46080393,1229.10150745
2006-02-08 08:00:00,1215.99497479,1215.99497479,1196.33517579,1197.42738685
2006-02-09 08:00:00,1210.89798986,1216.35904514,1208.71356775,1215.81293961
2006-02-10 08:00:00,1212.35427127,1212.35427127,1206.893216,1206.893216
2006-02-13 08:00:00,1208.71356775,1210.89798986,1208.71356775,1209.07763811
2006-02-14 08:00:00,1215.26683408,1215.81293961,1207.98542705,1215.81293961
2006-02-15 08:00:00,1211.99020092,1211.99020092,1201.79623107,1204.52675871
